"","Date","Block","Before","After","EC","Stress"
"56",2017-07-25,"D",6.1,5.61,5.98,4.9
"57",2017-07-26,"D",6.11,5.51,5.99,6.1
"58",2017-07-27,"D",6.22,5.64,6.01,4.5
"59",2017-07-29,"D",6.96,5.02,6.23,13.5
"60",2017-07-30,"D",6.39,6.02,6.11,1
"61",2017-07-31,"D",6.18,5.83,6.25,4.6
"62",2017-08-01,"D",6.42,5.82,6.23,4.8
"63",2017-08-02,"D",6.29,6,6.37,3.8
"64",2017-08-03,"D",6.43,5.57,6.26,11.5
"65",2017-08-04,"D",6.42,5.95,6.41,6.4
"66",2017-08-06,"D",6.29,5.41,6.78,16
"67",2017-08-07,"D",6.66,6.38,6.53,1.7
"68",2017-08-08,"D",6.6,6.28,6.75,4.6
"69",2017-08-09,"D",6.64,6.18,6.79,6
"70",2017-08-11,"D",7.06,5.38,6.7,12
"71",2017-08-12,"D",6.88,6.27,6.9,6
"72",2017-08-13,"D",6.88,6.44,6.73,5.1
"73",2017-08-15,"D",8.03,5.84,6.77,14
"74",2017-08-16,"D",7.19,6.92,6.92,0
"75",2017-08-17,"D",6.93,6.6,7,4.3
"76",2017-08-19,"D",8,5.41,7.42,16
"77",2017-08-20,"D",7.38,6.93,6.93,0
"78",2017-08-22,"D",8.72,5.43,6.88,20
"79",2017-08-23,"D",7.38,6.97,6.97,0
"80",2017-08-24,"D",7.11,6.77,6.98,3.3
"81",2017-08-26,"D",9.04,5.78,7.09,17.4
"82",2017-08-27,"D",7.52,7.04,7.13,0.9
"83",2017-08-29,"D",9.13,6.08,7.42,16
"84",2017-08-30,"D",7.46,7.16,7.16,0
"85",2017-08-31,"D",7.65,6.75,7.33,6.9
"86",2017-09-01,"D",7.6,6.78,7.44,7.8
"87",2017-09-02,"D",7.54,6.72,7.4,8.5
"88",2017-09-03,"D",7.71,6.93,7.54,7.1
"89",2017-09-04,"D",7.63,7.02,7.35,6
"90",2017-09-06,"D",8.08,6.83,7.73,11.1
"91",2017-09-07,"D",7.86,7.51,7.51,0
"92",2017-09-08,"D",7.51,7.29,7.57,3
"93",2017-09-09,"D",7.77,6.92,7.6,6.4
"94",2017-09-10,"D",6.44,5.56,7.25,16
"95",2017-09-13,"D",7.54,7.13,7.59,4.6
"96",2017-09-14,"D",7.93,6.76,7.54,9.3
"97",2017-09-16,"D",8.52,6.4,7.64,13
"98",2017-09-17,"D",7.92,7.67,7.67,0
"99",2017-09-18,"D",7.75,7.17,7.52,5.5
"100",2017-09-19,"D",7,7,7.59,8.3
"101",2017-09-20,"D",7.75,7.02,7.7,8
"102",2017-09-21,"D",7.74,7.19,7.57,3.9
"103",2017-09-22,"D",7.74,6.98,7.51,6.5
"104",2017-09-24,"D",8.13,7.25,7.61,3.1
"105",2017-09-26,"D",8.19,6.68,7.42,10
"106",2017-09-27,"D",7.67,7.17,7.51,4.7
"107",2017-09-28,"D",7.68,7.47,7.47,0
"108",2017-09-29,"D",7.66,7.39,7.6,1.6
"109",2017-10-01,"D",8.1,6.89,7.66,8.7
"110",2017-10-02,"D",7.72,7.54,7.54,0
"111",2017-10-03,"D",7.65,7.48,7.48,0
"112",2017-10-04,"D",7.65,7.48,7.48,0
"113",2017-10-05,"D",7.6,7.43,7.43,0
"114",2017-10-06,"D",7.61,7.5,7.5,0
"115",2017-10-07,"D",7.56,7.38,7.38,0
"116",2017-10-08,"D",7.56,7.47,7.47,0
"117",2017-10-10,"D",7.6,7.42,7.42,0
"118",2017-10-11,"D",7.56,7.08,7.08,0
"119",2017-10-12,"D",7.43,7.43,7.43,0
"120",2017-10-14,"D",7.77,7.55,7.55,0
"121",2017-10-15,"D",7.61,7.51,7.51,0
"122",2017-10-16,"D",7.59,7.5,7.5,0
"123",2017-10-23,"F",5.72,5.67,6.04,5.5
"124",2017-10-24,"F",6.02,5.91,6.01,1.5
"125",2017-10-25,"F",5.91,5.82,6.16,4.7
"126",2017-10-26,"F",6.2,6.03,6.12,1.2
"127",2017-10-28,"F",6.42,6,6.25,3
"128",2017-10-29,"F",6.22,6.13,6.22,0.9
"129",2017-10-31,"F",6.44,6.06,6.55,5.5
"130",2017-11-01,"F",6.45,6.45,6.49,0.6
"131",2017-11-02,"F",6.39,6.36,6.51,2
"132",2017-11-03,"F",6.4,6.33,6.63,3.9
"133",2017-11-04,"F",6.94,6.51,6.61,1.3
"134",2017-11-05,"F",6.51,6.36,6.75,4.9
"135",2017-11-07,"F",7.28,6.43,6.61,1.4
"136",2017-11-08,"F",6.87,6.79,6.79,0
"137",2017-11-09,"F",6.8,6.8,6.8,0
"138",2017-11-11,"F",7.5,6.31,6.85,7
"139",2017-11-12,"F",6.89,6.72,6.94,2.6
"140",2017-11-14,"F",7.27,6.73,7.04,3.9
"141",2017-11-15,"F",7.04,7.04,7.04,0
"142",2017-11-18,"F",7.57,6.92,7.02,1.1
"143",2017-11-19,"F",7.06,6.98,7,0.3
"144",2017-11-20,"F",7.16,6.83,7,2.4
"145",2017-11-21,"F",7.02,6.83,7,2.4
"146",2017-11-23,"F",7.42,7.06,7.08,0.6
"147",2017-11-24,"F",7.19,7.08,7.12,0.3
"148",2017-11-26,"F",7.58,6.6,7.16,7.1
"149",2017-11-27,"F",7.2,7.12,7.12,0
