"","Date","Block","Before","After","EC","Stress"
"121",2017-09-21,"F",3.68,3.68,4.83,11.5
"122",2017-09-22,"F",4.46,4.36,4.84,4.3
"123",2017-09-24,"F",4.95,4.42,4.97,4.8
"124",2017-09-26,"F",5.1,4.21,4.84,8.6
"125",2017-09-27,"F",4.96,4.85,4.91,0.7
"126",2017-09-28,"F",4.91,4.75,5.03,3.6
"127",2017-09-29,"F",4.84,4.68,5.04,4.6
"128",2017-10-01,"F",5.44,4.48,5.28,8.9
"129",2017-10-02,"F",5.16,5.02,5.14,1.1
"130",2017-10-03,"F",4.91,4.77,5.32,6.1
"131",2017-10-04,"F",5.21,5.01,5.24,2.7
"132",2017-10-05,"F",5.24,5.2,5.31,1.4
"133",2017-10-06,"F",5.37,5.17,5.24,0.5
"134",2017-10-07,"F",5.14,5,5.41,5
"135",2017-10-08,"F",5.36,5.26,5.52,3.4
"136",2017-10-10,"F",5.76,5.12,5.54,5.4
"137",2017-10-11,"F",5.6,5.4,5.51,1.4
"138",2017-10-12,"F",5.76,5.35,5.54,3.6
"139",2017-10-14,"F",5.91,5.45,5.58,2.5
"140",2017-10-15,"F",5.64,5.48,5.68,3.7
"141",2017-10-16,"F",5.61,5.56,5.68,2.3
"142",2017-10-17,"F",5.46,5.4,5.78,6.7
"143",2017-10-18,"F",5.52,5.48,5.84,6.3
"144",2017-10-19,"F",5.83,5.76,5.89,2.3
"145",2017-10-21,"F",6.03,5.75,6.01,4.2
"146",2017-10-22,"F",5.75,5.64,6.02,6
"147",2017-10-23,"F",5.72,5.67,6.04,5.5
