"","date","Block","EC_Before","EC_After","EC","EC_Stress","PH_Before","PH_After","NO3","NO3_Supply","Cation","sweetness","Total","mean_temp","GDD","mean_Hum","mean_CO2","Cum_GDD"
"20",2017-09-04,"F",2.76,2.76,3.44,11.7,6.7,6.4,240,7,350,NA,NA,23.45,13.45,67,316.5,390.1
"21",2017-09-05,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.15,14.15,71,339.5,404.25
"22",2017-09-06,"F",2.64,2.64,4.16,19.3,6.8,6.4,180,7,380,NA,NA,25.85,15.85,81.5,405,420.1
"23",2017-09-07,"F",3.01,3.01,4.22,13,6.8,6.3,210,7,450,NA,NA,27,17,85,473.5,437.1
"24",2017-09-08,"F",3.06,3.06,4.15,11,6.7,6.3,220,7,440,NA,NA,26.7,16.7,72.5,423,453.8
"25",2017-09-09,"F",3.1,3.1,4.03,8.9,6.7,6.2,220,7,440,NA,NA,26.5,16.5,65.5,438,470.3
"26",2017-09-10,"F",3.09,3.09,4.12,10,6.7,6.3,230,7,410,NA,NA,27.8,17.8,69,484.5,488.1
"27",2017-09-11,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.75,15.75,75,432.5,503.85
"28",2017-09-12,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.45,15.45,87.5,481,519.3
"29",2017-09-13,"F",2.77,0.84,4.21,40,6.4,6.4,290,7,66,NA,NA,27.05,17.05,72,482,536.35
"30",2017-09-14,"F",3.04,3.04,4.22,14.5,6.9,6.3,210,7,310,NA,NA,25.85,15.85,72.5,425,552.2
"31",2017-09-15,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.8,12.8,70.5,342,565
"32",2017-09-16,"F",2.9,2.9,4.43,17,6.7,6.4,170,7,370,NA,NA,23.45,13.45,89.5,360,578.45
"33",2017-09-17,"F",3.16,3.16,4.03,14,6.8,6.4,180,7,450,NA,NA,25.85,15.85,80,468,594.3
"34",2017-09-18,"F",3.03,3.03,4.54,22.8,6.7,6.4,190,7,440,NA,NA,25.6,15.6,77.5,451,609.9
"35",2017-09-19,"F",3.3,3.3,4.77,20,6.7,6.3,220,7,480,NA,NA,24.7,14.7,73,434,624.6
"36",2017-09-20,"F",3.53,3.53,4.9,16,6.6,6.3,180,6,470,NA,NA,24.75,14.75,73,405,639.35
"37",2017-09-21,"F",3.68,3.68,4.83,11.5,6.6,6.4,170,7,490,NA,NA,23.4,13.4,70,418,652.75
"38",2017-09-22,"F",4.46,4.36,4.84,4.3,6.8,6.3,230,6,590,NA,NA,19.25,9.25,87.5,344,662
"39",2017-09-23,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.65,13.65,83.5,393,675.65
"40",2017-09-24,"F",4.95,4.42,4.97,4.8,6.7,6.2,220,7,610,NA,NA,23.8,13.8,78,404,689.45
"41",2017-09-25,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5,13.5,71.5,431,702.95
"42",2017-09-26,"F",5.1,4.21,4.84,8.6,6.6,6.3,180,7,620,NA,NA,24.4,14.4,67.5,463,717.35
"43",2017-09-27,"F",4.96,4.85,4.91,0.7,6.7,6.3,220,6,650,NA,NA,25.2,15.2,73.5,482.5,732.55
"44",2017-09-28,"F",4.91,4.75,5.03,3.6,6.6,6.3,220,6,600,NA,NA,20.25,10.25,83.5,407.5,742.8
"45",2017-09-29,"F",4.84,4.68,5.04,4.6,6.6,6.3,210,7,570,NA,NA,21.2,11.2,70,378,754
"46",2017-09-30,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.1,11.1,66.5,342.5,765.1
"47",2017-10-01,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.1,11.1,68,379,776.2
"48",2017-10-02,"F",5.16,5.02,5.14,1.1,6.6,6.3,190,6,590,NA,NA,22,12,92,479,788.2
"49",2017-10-03,"F",4.91,4.77,5.32,6.1,6.6,6.2,230,5,540,NA,NA,24.05,14.05,80.5,553.5,802.25
"50",2017-10-04,"F",5.21,5.01,5.24,2.7,6.5,6.3,230,5,590,NA,NA,19.35,9.35,73.5,341,811.6
"51",2017-10-05,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,11,71.5,391.5,822.6
"52",2017-10-06,"F",5.37,5.17,5.24,0.5,6.6,6.4,250,4,620,NA,NA,19.85,9.85,90.5,393,832.45
"53",2017-10-07,"F",5.14,5,5.41,5,6.5,6.3,250,4,620,NA,NA,22.95,12.95,85.5,525.5,845.4
"54",2017-10-08,"F",5.36,5.26,5.52,3.4,6.5,6.3,250,4,620,NA,NA,24.5,14.5,77,540.5,859.9
"55",2017-10-09,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.2,14.2,77.5,509,874.1
"56",2017-10-10,"F",5.76,5.12,5.54,5.4,6.6,6.3,180,4,670,NA,NA,24.9,14.9,74.5,562.5,889
"57",2017-10-11,"F",5.6,5.4,5.51,1.4,6.6,6.4,180,4,670,NA,NA,24.9,14.9,73,551.5,903.9
"58",2017-10-12,"F",5.76,5.35,5.54,3.6,6.6,6.4,180,4,650,NA,NA,23.4,13.4,87.5,516,917.3
"59",2017-10-13,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.4,11.4,85,489.5,928.7
"60",2017-10-14,"F",5.91,5.45,5.58,2.5,6.7,6.4,170,4,690,NA,NA,21.9,11.9,89,531.5,940.6
"61",2017-10-15,"F",5.64,5.48,5.68,3.7,6.6,6.4,170,4,670,NA,NA,22.05,12.05,93.5,542.5,952.65
"62",2017-10-16,"F",5.61,5.56,5.68,2.3,6.6,6.3,160,5,700,NA,NA,19.85,9.85,97.5,558.5,962.5
"63",2017-10-17,"F",5.46,5.4,5.78,6.7,6.5,6.2,180,4,650,NA,NA,19.35,9.35,98,565,971.85
"64",2017-10-18,"F",5.52,5.48,5.84,6.3,6.4,6.4,210,4,650,NA,NA,21.75,11.75,82.5,510.5,983.6
"65",2017-10-19,"F",5.83,5.76,5.89,2.3,6.4,6.3,220,4,720,NA,NA,20.9,10.9,91,451,994.5
"66",2017-10-20,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.85,11.85,94,538.5,1006.35
"67",2017-10-21,"F",6.03,5.75,6.01,4.2,6.6,6.3,160,4,730,NA,NA,20,10,99,669,1016.35
"68",2017-10-22,"F",5.75,5.64,6.02,6,6.5,6.3,200,4,690,NA,NA,19.15,9.15,100,829.5,1025.5
"69",2017-10-23,"F",5.72,5.67,6.04,5.5,6.5,6.3,200,4,670,NA,NA,21.1,11.1,80.5,665.5,1036.6
"70",2017-10-23,"F",5.72,5.67,6.04,5.5,6.5,6.3,200,4,670,NA,NA,21.1,11.1,80.5,665.5,1036.6
"71",2017-10-24,"F",6.02,5.91,6.01,1.5,6.4,6.3,220,3,730,NA,NA,20.4,10.4,88,509,1047
"72",2017-10-25,"F",5.91,5.82,6.16,4.7,6.3,6.3,240,2,730,NA,NA,22.7,12.7,79.5,528.5,1059.7
"73",2017-10-26,"F",6.2,6.03,6.12,1.2,6.4,6.3,230,3,780,NA,NA,20.85,10.85,75.5,492,1070.55
"74",2017-10-27,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,14,72.5,621.5,1084.55
"75",2017-10-28,"F",6.42,6,6.25,3,6.4,6.4,200,3,720,NA,NA,21.15,11.15,90.5,493,1095.7
"76",2017-10-29,"F",6.22,6.13,6.22,0.9,6.5,6.3,200,3,790,2.14285714285714,6.2,19.45,9.45,99,589.5,1105.15
"77",2017-10-30,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.65,10.65,84,531.5,1115.8
"78",2017-10-31,"F",6.44,6.06,6.55,5.5,6.6,6.3,170,3,870,NA,NA,19.8,9.8,70,454,1125.6
"79",2017-11-01,"F",6.45,6.45,6.49,0.6,6.5,6.3,180,3,940,NA,NA,19.2,9.2,64.5,438,1134.8
"80",2017-11-02,"F",6.39,6.36,6.51,2,6.5,6.2,180,3,890,NA,NA,19.8,9.8,65.5,458,1144.6
"81",2017-11-03,"F",6.4,6.33,6.63,3.9,6.5,6.3,170,3,740,NA,NA,21.75,11.75,69.5,492.5,1156.35
"82",2017-11-04,"F",6.94,6.51,6.61,1.3,6.4,6.4,160,3,880,NA,NA,20.85,10.85,73,525,1167.2
"83",2017-11-05,"F",6.51,6.36,6.75,4.9,6.5,6.3,140,4,930,0.857142857142857,6,19.5,9.5,70,437,1176.7
"84",2017-11-06,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.4,10.4,66.5,534.5,1187.1
"85",2017-11-07,"F",7.28,6.43,6.61,1.4,6.6,6.3,150,3,940,NA,NA,21.8,11.8,71.5,518,1198.9
"86",2017-11-08,"F",6.87,6.79,6.79,0,6.5,6.3,150,2,980,NA,NA,19.95,9.95,94,616,1208.85
"87",2017-11-09,"F",6.8,6.8,6.8,0,6.6,6.3,140,3,940,NA,NA,20.5,10.5,74,544.5,1219.35
"88",2017-11-10,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,10,68.5,505.5,1229.35
"89",2017-11-11,"F",7.5,6.31,6.85,7,6.5,6.3,130,3,840,NA,NA,20.85,10.85,77,526.5,1240.2
"90",2017-11-12,"F",6.89,6.72,6.94,2.6,6.5,6.3,140,3,950,2.21428571428571,27.7571428571429,19.85,9.85,74,502,1250.05
"91",2017-11-13,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.55,9.55,66.5,518.5,1259.6
"92",2017-11-14,"F",7.27,6.73,7.04,3.9,6.6,6.3,140,2,1000,NA,NA,15,5,92,532.5,1264.6
"93",2017-11-15,"F",7.04,7.04,7.04,0,6.6,6.3,130,3,1000,NA,NA,20.15,10.15,74.5,552.5,1274.75
"94",2017-11-16,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.75,7.75,74,449,1282.5
"95",2017-11-17,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1,8.1,72,486.5,1290.6
"96",2017-11-18,"F",7.57,6.92,7.02,1.1,6.6,6.3,130,2,1100,NA,NA,14.45,4.45,94.5,463,1295.05
"97",2017-11-19,"F",7.06,6.98,7,0.3,6.5,6.3,140,3,970,2.14285714285714,24.7428571428571,17.35,7.35,76.5,468.5,1302.4
"98",2017-11-20,"F",7.16,6.83,7,2.4,6.5,6.3,150,2,990,NA,NA,15.45,5.45,92.5,408.5,1307.85
"99",2017-11-21,"F",7.02,6.83,7,2.4,6.5,6.3,140,3,960,NA,NA,18.35,8.35,76,458.5,1316.2
"100",2017-11-22,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.9,5.9,88.5,432.5,1322.1
"101",2017-11-23,"F",7.42,7.06,7.08,0.6,6.6,6.3,140,3,970,NA,NA,18.45,8.45,78,520,1330.55
"102",2017-11-24,"F",7.19,7.08,7.12,0.3,6.4,6.3,130,3,1000,NA,NA,17.1,7.1,73,458,1337.65
"103",2017-11-25,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,8,72,471.5,1345.65
"104",2017-11-26,"F",7.58,6.6,7.16,7.1,6.5,6.3,120,3,950,2.28571428571429,13.1142857142857,17.25,7.25,84.5,461,1352.9
"105",2017-11-27,"F",7.2,7.12,7.12,0,6.4,6.3,130,3,980,6.5,13.4,19.7,9.7,74,551,1362.6
